,date,user_country,user_city,store_name,store_lat,store_lon,dfee,distance
75,2022-01-23,hr,City of Zagreb,Pivnica Mali Medo,45.815800117695694,15.976602137088774,8.0,1.148543102605621
76,2022-01-23,hr,City of Zagreb,Restoran Le Premier,45.81005020000001,15.9860121,8.0,0.6655833689384755
77,2022-01-23,hr,City of Zagreb,Butik Torti - Rapska  ulica,45.798995306112765,16.003375947475433,10.0,1.9598985525939772
78,2022-01-23,hr,City of Zagreb,Leonardo-L,45.8148425,15.97710909999999,8.0,1.0359079057485687
79,2022-01-23,hr,City of Zagreb,Yuki Sushi,45.822648,16.0393572,22.0,4.9680464353889615
80,2022-01-23,hr,City of Zagreb,Mr. Moo Bar & Restaurant,45.81843516708074,15.976454615592957,8.0,1.4374333262596994
81,2022-01-23,hr,City of Zagreb,Choco Cafe - Višnjevac,45.80031175383539,15.93417227268219,18.0,3.6074179690796178
82,2022-01-23,hr,City of Zagreb,Kile's tasty grill - Lastovska,45.7941559,15.996468299999968,10.0,1.8134419097067402
83,2022-01-23,hr,City of Zagreb,Pizzeria DG,45.8067899,15.9535615,12.0,2.0558788313524445
84,2022-01-23,hr,City of Zagreb,Wok & Roll - Avenue Mall,45.77660119999999,15.9787329,16.0,3.2443770147335673
85,2022-01-23,hr,City of Zagreb,Pizza Club A1,45.77940299999999,15.98296,14.0,2.939928069019138
86,2022-01-23,hr,City of Zagreb,El Toro Restaurant & Bar,45.81119200127149,15.99426783621311,0.0,1.2583694005128077
87,2022-01-23,hr,City of Zagreb,Krojačnica - Street Food,45.78702879999999,15.9497787,16.0,3.1375387877907857
88,2022-01-23,hr,City of Zagreb,Pani - Tkalčićeva,45.8176009,15.9761483,8.0,1.351599375798094
89,2022-01-23,hr,City of Zagreb,"de Toss sushi, wok & burger bar",45.79661309999999,15.9600249,10.0,1.855171058890161
90,2022-01-23,hr,City of Zagreb,Chevos Grill,45.7793432,16.0003149,16.0,3.332353297820453
91,2022-01-23,hr,City of Zagreb,French Tacos - Tkalčićeva ,45.8170241,15.9762999,8.0,1.286439863810913
92,2022-01-23,hr,City of Zagreb,Pizzeria Maslina,45.79089772066897,15.959709584712982,12.0,2.2837339503669396
93,2022-01-23,hr,City of Zagreb,Torte i to - Grahorova,45.81211351484456,15.950869023799894,12.0,2.3693256055411918
94,2022-01-23,hr,City of Zagreb,Fianona Restaurant,45.774599886393105,15.94523033619867,20.0,4.392706756097186
95,2022-01-23,hr,City of Zagreb,Bir - Craft Pivovara & Pivnica,45.8144204,16.0085441,12.0,2.411364348528346
96,2022-01-23,hr,City of Zagreb,Yummy Pizza,45.789098513071075,16.005975008010864,14.0,2.7348332101998056
97,2022-01-23,hr,City of Zagreb,Bistro Bas,45.8138599,15.9640335,10.0,1.5335483719070768
98,2022-01-23,hr,City of Zagreb,Garden Salad by De Toss,45.79661309999999,15.9600249,10.0,1.855171058890161
99,2022-01-23,hr,City of Zagreb,Brewbites,45.81093943389903,15.976376831531525,8.0,0.6426050356755593
100,2022-01-23,hr,City of Zagreb,Pivnica Kaj god,45.7655386,15.9927913,22.0,4.581421454036779
101,2022-01-23,hr,City of Zagreb,Tutta Forza,45.8082486,15.9923575,8.0,0.9948858359939201
102,2022-01-23,hr,City of Zagreb,La Creperia - Maksimir,45.8220617,16.011427,16.0,3.035243527775398
103,2022-01-23,hr,City of Zagreb,Kungfu Express,45.81489101394312,15.97656698783495,8.0,1.051131429928106
104,2022-01-23,hr,City of Zagreb,Pizza Lab,45.7991466,15.9370636,16.0,3.412198500075415
